#ip;descr
10.228.14.1;10.228.*1
10.228.14.2;10.228.*2
10.228.14.3;10.228.*3
10.228.14.4;10.228.*4
10.228.14.5;10.228.*5
10.228.14.6;10.228.*6
10.228.14.7;10.228.*7
10.228.14.8;10.228.*8
10.228.14.9;10.228.*9
10.228.14.10;10.228.*10
10.228.14.11;10.228.*11
10.228.14.12;10.228.*12
10.228.14.13;10.228.*13
10.228.14.14;10.228.*14
10.228.14.15;10.228.*15
10.228.14.16;10.228.*16
10.228.14.17;10.228.*17
10.228.14.18;10.228.*18
10.228.14.19;10.228.*19
10.228.14.20;10.228.*20
10.228.14.21;10.228.*21
10.228.14.22;10.228.*22
10.228.14.23;10.228.*23
10.228.14.24;10.228.*24
10.228.14.25;10.228.*25
10.228.14.26;10.228.*26
10.228.14.27;10.228.*27
